msa,msa_name,sprawl_1976_92,sprawl_1992,sprawl_1976,central_empl_1977,streetcar_1902,avg_dec_popgr1920_70,sd_dec_popgr1920_70,pc_aquifer_fringe,pc_aquifer_msa,elevat_range_fringe,elevat_range_msa,ruggedness_fringe,ruggedness_msa,cooling_dd,heating_dd,pc_incorp_fringe,pc_incorp_msa,pc_transfers,rest_bars,road_density,popgr_1970_90,herfindahl_incorp,latitude,longitude,division
40,"Abilene, TX MSA",52.09,24.79,23.28,24.70458,0,35.5653,28.741,20.54499,34.12185,261,264,4.418278,4.606339,2451,2584,9.168704,9.169765,35.5,1.256988,.6713554,22.28036,.7325704,32.30146,-99.89011,7
120,"Albany, GA MSA",74.84,56.23,54.34,22.30715,0,27.36028,21.6405,96.40186,96.52885,84,84,1.774561,1.798717,2206,2205,5.897772,6.670312,37.25103,1.044651,.5391046,16.42274,.8042193,31.66139,-84.17725,5
160,"Albany-Schenectady-Troy, NY MSA",55.65,42.25,44.45,23.84989,122.0019,7.979094,3.061895,19.90095,18.19949,835,1005,13.62373,13.60385,420.429,7175.57,2.561147,4.014767,47.76989,1.545089,1.137971,7.336803,.0936055,42.80273,-74.0042,2
200,"Albuquerque, NM MSA",58.33,30.59,29.90,23.1497,0,49.1729,18.09207,0,0,1840,1966,13.61747,14.1476,546,6062.29,2.267751,2.242239,50.85794,1.742012,.2605302,72.77329,.5818216,35.39084,-106.8175,8
220,"Alexandria, LA MSA",52.71,44.31,48.47,23.28644,0,14.92672,7.030152,0,0,82,82,1.783099,1.814687,2414,2064,2.398082,3.980357,60.8,1.007808,.9086836,11.41449,.1951425,31.19859,-92.53326,7
240,"Allentown-Bethlehem-Easton, PA MSA",69.24,47.95,47.18,23.84939,0,7.456475,3.617583,96.38007,94.00258,543,606,13.15718,12.78078,742.5,5812.5,8.508287,11.12623,28.60855,1.351286,1.582759,14.38476,.0941279,40.76728,-75.53641,2
280,"Altoona, PA MSA",71.91,49.21,49.82,23.17057,0,1.1464,3.970947,100,100,628,628,25.27276,24.79869,582,6140,1.034738,2.86533,39.1,1.374154,.7311901,-3.556547,.37375,40.48126,-78.34866,2
320,"Amarillo, TX MSA",61.73,29.95,30.08,23.73009,0,57.26033,57.55969,0,0,293,375,4.467643,4.913429,1402,4005,4.858549,5.065898,27.47281,2.084545,.3954025,29.88379,.8474122,35.18408,-101.8955,7
450,"Anniston, AL MSA",73.80,63.75,63.30,21.61929,0,16.76613,6.110151,100,100,469,476,12.59264,12.32342,1593,3137.83,7.328145,8.421053,46.2,.9797074,.9367874,12.55384,.2160467,33.77142,-85.82603,6
460,"Appleton-Oshkosh-Neenah, WI MSA",59.56,39.06,39.14,22.48138,0,15.33675,4.70238,77.54969,71.15371,137,137,2.35784,2.102461,506,7826.67,3.924731,8.386039,44.11843,1.906888,1.448256,13.80688,.1387129,44.21058,-88.46857,3
480,"Asheville, NC MSA",72.83,57.69,58.09,22.7021,0,14.55578,13.34749,100,100,1444,1490,37.8693,40.38081,822,4311.67,3.529412,4.68056,53.74038,1.229363,.9386893,19.07065,.3275081,35.71161,-82.60156,5
500,"Athens, GA MSA",72.11,58.55,55.21,23.0687,0,10.36454,16.65696,100,100,190,190,6.717501,6.75165,1709,2893,3.840782,5.728835,39.23313,1.385537,1.040009,45.78392,.2728395,34.00008,-83.31284,5
520,"Atlanta, GA MSA",62.97,55.57,57.77,22.5285,0,22.76577,8.946606,100,100,534,856,6.889406,7.568795,1436.64,3258.64,7.967599,9.303319,33.00832,1.27408,.9853232,67.83321,.0643659,33.81372,-84.42798,5
580,"Auburn-Opelika, AL MSA",75.96,61.98,61.10,21.60585,0,13.62643,8.632627,64.76676,63.38312,193,193,6.964359,6.878406,1772,2703,10.42746,10.8589,38.9,.9140171,1.006009,42.23738,.480226,32.60112,-85.35549,6
600,"Augusta-Aiken, GA-SC MSA",65.91,53.18,52.11,22.51077,0,14.84253,9.837705,39.41772,38.36589,177,177,5.480079,5.432364,1801,2747,2.04688,2.625954,42.77081,1.049698,.886947,35.3471,.1174283,33.55994,-81.92854,5
640,"Austin-San Marcos, TX MSA",59.76,40.74,37.23,22.6982,0,19.05356,7.207321,29.58148,31.25885,376,406,5.408009,5.523797,2775.83,1811.5,2.731441,4.561155,35.16994,2.025377,.7283826,112.1199,.3862645,30.26263,-97.65442,7
680,"Bakersfield, CA MSA",66.64,53.27,52.34,22.20491,0,44.75803,21.38438,0,0,2454,2617,17.22562,22.85246,1909.58,2830.67,3.028658,3.604273,37.4,1.631415,.3721244,65.10928,.4686371,35.34293,-118.7298,9
733,"Bangor, ME NECMA",81.92,64.82,60.57,22.91702,0,7.582559,5.996395,0,0,490,729,6.793108,7.070626,217.2,8527,2.593068,2.412983,29.3,1.044715,.6242138,16.91323,.3680398,45.40053,-68.6494,1
743,"Barnstable-Yarmouth, MA NECMA",61.85,52.34,54.59,24.28764,0,29.95208,12.44193,0,0,91,91,3.659148,3.507449,299.5,6097.5,0,0,27.4,3.786625,1.771487,93.06096,0,41.72363,-70.2915,1
760,"Baton Rouge, LA MSA",61.80,48.20,50.06,21.58306,0,33.75832,11.79128,0,0,41,41,.6322378,.6408406,2559.5,1739.5,4.485243,7.09295,41.74142,1.219291,1.045734,40.63488,.2656895,30.42694,-90.93314,7
840,"Beaumont-Port Arthur, TX MSA",66.33,48.83,47.03,21.7644,0,28.50798,19.24343,0,0,36,46,.4923349,.5382322,2604.33,1652.33,9.640616,10.44588,38.6738,1.32066,.8706923,4.388812,.2089888,30.10127,-94.20786,7
860,"Bellingham, WA MSA",78.53,63.73,62.66,23.80585,0,10.28214,5.898327,5.581323,3.761754,3231,3231,74.38044,77.5149,131.5,5876.17,1.769691,1.24535,44.7,2.062233,.3379205,55.92434,.5715972,48.8257,-121.7208,9
870,"Benton Harbor, MI MSA",73.02,55.51,53.28,21.36176,0,21.60539,9.772564,0,0,98,98,3.042984,3.037208,698,6320,3.805774,5.112599,44.8,1.507246,1.284621,-1.523722,.0966553,41.95474,-86.41226,3
880,"Billings, MT MSA",34.92,23.27,27.72,23.39646,0,25.08348,14.90079,4.270586,46.52459,560,640,7.571082,7.060273,534.8,7349,.6554691,1.007194,21.3,2.049227,.3029587,29.84431,.8922449,45.93723,-108.2744,8
920,"Biloxi-Gulfport-Pascagoula, MS MSA",75.89,65.23,65.07,23.94723,0,31.90327,16.42805,0,0,69,69,1.585656,2.055741,2566,1643,5.911983,4,36.27516,1.304471,.718855,30.18371,.1619324,30.49791,-89.01713,6
960,"Binghamton, NY MSA",75.91,53.87,53.76,20.44632,0,14.41494,6.148683,0,0,394,394,20.52577,19.89464,315.667,7308,1.504587,2.56651,46.21858,1.509347,.9263216,-1.42773,.1760857,42.1645,-76.02516,2
1000,"Birmingham, AL MSA",74.05,56.37,54.08,22.10235,0,14.29081,10.45578,100,100,381,394,11.9377,10.73363,1706.75,3002.25,12.73165,12.65096,36.05023,1.024617,.6204983,13.86526,.080467,33.60081,-86.65369,6
1010,"Bismarck, ND MSA",60.94,41.27,42.07,24.62615,0,12.37346,5.96086,49.83215,72.85502,299,299,4.871716,5.058966,513.167,8971.67,1.311391,1.103869,24.43855,1.671474,.2171889,37.37382,.3112018,46.837,-100.9051,4
1020,"Bloomington, IN MSA",70.43,48.51,45.57,22.04498,0,29.37593,17.03217,0,0,155,155,10.53073,10.3536,1068,5309,1.369863,3.658536,39.2,1.473205,.7089081,28.43758,.8159106,39.16095,-86.52314,3
1040,"Bloomington-Normal, IL MSA",67.57,44.15,40.77,23.87662,0,8.594702,8.391194,.6125463,.6545527,107,107,1.901981,1.865157,1009,5945.5,2.000702,3.064156,18.1,1.484831,1.021281,23.74867,.218316,40.49081,-88.84734,3
1080,"Boise City, ID MSA",63.42,37.38,38.01,22.14775,0,23.18403,9.798492,11.56926,24.07785,1185,1185,7.310456,6.497347,785.714,5686.86,2.907329,4.30132,30.34361,2.017221,.8322102,70.51341,.3771731,43.51435,-116.4112,8
1123,"Boston-Worcester-Lawrence-Lowell-Brockton, MA-NH NECMA",67.49,47.64,44.72,23.43128,245.8845,8.31409,3.323356,0,0,685,685,7.496511,7.292742,427.033,6667.07,6.524618,9.393874,31.16554,1.304863,1.22077,8.837447,.0411974,42.49196,-71.37279,1
1240,"Brownsville-Harlingen-San Benito, TX MSA",65.67,43.76,40.91,23.44102,0,96.56671,158.5972,0,0,32,32,.52872,.5206405,3745.33,715,4.453049,5.79627,44.7,1.745412,.8051149,85.31289,.2505637,26.12842,-97.52625,7
1260,"Bryan-College Station, TX MSA",59.53,31.55,32.26,21.62986,0,22.2609,14.16619,0,0,83,83,2.404158,2.377958,2776,1788,7.096307,9.090909,45.7,1.517817,.8185965,110.1866,.5080341,30.66105,-96.30235,7
1280,"Buffalo-Niagara Falls, NY MSA",64.90,39.92,37.87,21.99922,175.8073,12.60153,7.349998,4.908632,8.314055,516,516,4.708164,4.461477,420.2,6862.2,4.478384,8,40.56502,1.552018,1.160799,-11.85308,.1744639,42.91101,-78.73686,2
1303,"Burlington, VT NECMA",88.47,75.10,60.58,23.30366,0,11.80535,7.453269,26.02816,24.32879,1275,1276,15.48776,14.02677,321.5,7865.5,2.441257,3.007322,28.87816,1.365804,1.005611,32.1464,.2273724,44.68709,-73.03077,1
1320,"Canton-Massillon, OH MSA",61.79,44.85,45.89,21.54934,0,15.50659,6.678763,100,100,132,132,7.630454,7.236399,579.7,6205.2,2.502085,6.257242,25.81103,1.485567,.5791906,.0805,.1589697,40.71866,-81.25368,3
1350,"Casper, WY MSA",54.24,34.40,34.19,23.00815,0,31.41328,27.46497,53.3862,54.66563,985,1309,10.67171,10.91942,446,7715.25,.6099252,.3169684,26.4,1.716604,.1288675,19.43274,.7945679,42.96227,-106.7985,8
1360,"Cedar Rapids, IA MSA",51.23,31.49,34.39,22.4067,0,17.40188,7.968808,100,100,129,129,4.728233,4.691638,822,6769,7.083101,10.5483,17.5,1.580756,1.052798,3.402915,.4600529,42.07888,-91.59892,4
1400,"Champaign-Urbana, IL MSA",72.56,44.26,42.10,24.4086,0,24.21861,14.28361,14.03156,14.20352,64,64,1.294402,1.289542,982.5,6018.5,2.512964,3.925305,24.2,1.377993,1.07899,5.967627,.1614667,40.14008,-88.19913,3
1440,"Charleston-North Charleston, SC MSA",58.03,48.71,50.76,22.69184,0,18.16932,12.57722,0,0,41,41,.7824151,.7500558,2107.5,2149.83,3.961653,4.556269,54.45427,1.07103,.7878462,50.79955,.143085,33.04145,-80.04322,5
1480,"Charleston, WV MSA",73.66,59.78,61.79,21.80472,0,14.14471,12.76546,100,100,501,684,37.40342,38.05052,987.25,4750.5,3.212396,4.062594,34.05574,1.139457,.8993467,-2.60014,.3184088,38.38445,-81.63409,5
1520,"Charlotte-Gastonia-Rock Hill, NC-SC MSA",67.88,52.73,51.12,22.79884,0,21.92844,6.776957,100,100,366,366,4.494223,4.466874,1466,3393.88,4.24556,8.480332,45.85929,1.163805,.854917,38.28728,.2425135,35.24553,-80.84245,5
1540,"Charlottesville, VA MSA",84.89,73.30,73.64,22.6113,0,15.74987,6.575317,100,100,984,1008,17.42784,14.2304,1156,4224,.5943536,.9668064,35.27517,.9500892,.617175,2.101099,.8155556,38.01535,-78.47571,5
1560,"Chattanooga, TN-GA MSA",76.42,61.29,61.06,21.40884,0,17.03962,6.75665,100,100,545,556,19.28825,19.73456,1420,3727,11.47156,12.38884,37.19897,1.05346,.8777227,16.41478,.2841719,35.00642,-85.35179,6
1580,"Cheyenne, WY MSA",48.83,29.99,31.35,24.86999,0,23.31623,15.91111,0,0,690,993,3.007981,4.067199,370.4,7190.6,.7323943,.8199039,38.9,1.543648,.1891813,29.77644,.5630202,41.30704,-104.6896,8
1602,"Chicago-Gary-Kenosha, IL-IN-WI CMSA",55.16,31.76,31.21,22.53019,231.6448,16.70704,9.468184,10.81711,9.37129,216,216,2.11159,2.052768,738.944,6573.11,14.27584,23.58001,25.29617,1.285228,1.328699,3.671576,.0233902,41.74453,-88.05255,3
